Age,human
1316,17.38422091
1317,17.37992898
1318,17.37570559
1319,17.37154882
1320,17.36745676
1321,17.36342748
1322,17.35945906
1323,17.35554956
1324,17.35169706
1325,17.34789962
1326,17.3441553
1327,17.34046216
1328,17.33681825
1329,17.33322163
1330,17.32967035
1331,17.32616244
1332,17.32269596
1333,17.31926894
1334,17.31587941
1335,17.31252541
1336,17.30920497
1337,17.30591612
1338,17.30265686
1339,17.29942524
1340,17.29621925
1341,17.29303692
1342,17.28987625
1343,17.28673524
1344,17.28361191
1345,17.28050425
1346,17.27741026
1347,17.27432793
1348,17.27125525
1349,17.26819021
1350,17.26513079
1351,17.26207497
1352,17.25902073
1353,17.25596603
1354,17.25290886
1355,17.24984718
1356,17.24677895
1357,17.24370214
1358,17.24061469
1359,17.23751457
1360,17.23439972
1361,17.23126809
1362,17.22811763
1363,17.22494628
1364,17.22175197
1365,17.21853264
1366,17.21528622
1367,17.21201064
1368,17.20870382
1369,17.20536368
1370,17.20198815
1371,17.19857513
1372,17.19512254
1373,17.19162828
1374,17.18809027
1375,17.1845064
1376,17.18087456
1377,17.17719267
1378,17.1734586
1379,17.16967024
1380,17.16582549
1381,17.16192222
1382,17.15795831
1383,17.15393163
1384,17.14984007
1385,17.14568148
1386,17.14145374
1387,17.13715469
1388,17.13278222
1389,17.12833416
1390,17.12380837
1391,17.11920271
1392,17.11451501
1393,17.10974312
1394,17.10488488
1395,17.09993812
1396,17.09490068
1397,17.08977038
1398,17.08454505
1399,17.07922252
1400,17.0738006
1401,17.06827712
1402,17.06264987
1403,17.05691667
1404,17.05107534
1405,17.04512366
1406,17.03905945
1407,17.03288049
1408,17.02658458
1409,17.02016951
1410,17.01363306
1411,17.00697303
1412,17.00015885
1413,16.99316339
1414,16.98598954
1415,16.97864019
1416,16.97111824
1417,16.96342661
1418,16.9555682
1419,16.94754593
1420,16.93936272
1421,16.93102149
1422,16.92252518
1423,16.91387673
1424,16.90507906
1425,16.89613514
1426,16.8870479
1427,16.87782031
1428,16.86845531
1429,16.85895589
1430,16.849325
1431,16.83956562
1432,16.82968074
1433,16.81967332
