Age,AnnTemp,,,
4614.5,0.081247293,,,
4624.5,0.05865644,,,
4634.5,0.056767438,,,
4644.5,0.087503877,,,
4654.5,0.112966469,,,
4664.5,0.14220067,,,
4674.5,0.146769732,,,
4684.5,0.124241654,,,
4694.5,0.087703647,,,
4704.5,0.101732518,,,
4714.5,0.087800558,,,
4724.5,0.052828589,,,
4734.5,0.019490806,,,
4744.5,0.040403886,,,
4754.5,0.053338124,,,
4764.5,0.024403157,,,
4774.5,0.045786421,,,
4784.5,0.016405505,,,
4794.5,1.03E-03,,,
4804.5,0.0218463,,,
4814.5,0.02782729,,,
4824.5,0.03014792,,,
4834.5,4.06E-03,,,
4844.5,-0.032284382,,,
4854.5,-0.031609236,,,
4864.5,-0.014963078,,,
4874.5,-0.015547677,,,
4884.5,-0.105145631,,,
4894.5,-0.164671144,,,
4904.5,-0.191177042,,,
4914.5,-0.119603083,,,
4924.5,-0.110400477,,,
4934.5,-0.144969547,,,
4944.5,-0.137017207,,,
4954.5,-0.120413132,,,
4964.5,-0.130500264,,,
4974.5,-0.113361041,,,
4984.5,-0.112137981,,,
4994.5,-0.126231608,,,
5004.5,-0.171386832,,,
5014.5,-0.202457986,,,
5024.5,-0.233268672,,,
5034.5,-0.230905876,,,
5044.5,-0.204392806,,,
5054.5,-0.181874322,,,
5064.5,-0.155874979,,,
5074.5,-0.085775813,,,
5084.5,-0.072847128,,,
5094.5,-0.062987728,,,
5104.5,-0.062211358,,,
5114.5,-0.057137914,,,
5124.5,-0.065686759,,,
5134.5,-0.085945061,,,
5144.5,-0.125591017,,,
5154.5,-0.09757683,,,
5164.5,-0.084217552,,,
5174.5,-0.11745181,,,
5184.5,-0.122140781,,,
5194.5,-0.242955669,,,
5204.5,-0.144439696,,,
5214.5,-0.192651055,,,
5224.5,-0.133152893,,,
5234.5,-0.29570751,,,
5244.5,-0.223812667,,,
5254.5,-0.1252827,,,
5264.5,-0.113708542,,,
5274.5,-0.032812299,,,
5284.5,-0.10586272,,,
5294.5,-0.24294923,,,
5304.5,-0.202932925,,,
5314.5,-0.252757492,,,
5324.5,-0.076706193,,,
5334.5,0.045489623,,,
5344.5,0.049346625,,,
5354.5,0.032583722,,,
5364.5,-5.73E-03,,,
5374.5,-0.088665928,,,
5384.5,-0.060708678,,,
5394.5,-0.059047341,,,
5404.5,-0.069493401,,,
5414.5,-0.049634689,,,
5424.5,-0.053260391,,,
5434.5,-0.075964553,,,
5444.5,-0.020180291,,,
5454.5,-0.023838789,,,
5464.5,-0.023307843,,,
5474.5,-0.017051079,,,
